1 -7.51668 -7.51668 0
2 -7.5172 -7.51694 0.000186779
3 -7.50902 -7.5143 0.00215906
4 -7.51568 -7.51464 0.00164657
5 -7.5204 -7.5158 0.0016721
6 -7.51239 -7.51523 0.00148673
7 -7.52061 -7.516 0.00145992
8 -7.5157 -7.51596 0.00127791
9 -7.51924 -7.51632 0.00118687
10 -7.51489 -7.51618 0.00107683
11 -7.51809 -7.51635 0.000992863
12 -7.52166 -7.5168 0.00100365
13 -7.51389 -7.51657 0.000951073
14 -7.51332 -7.51634 0.000911077
15 -7.51901 -7.51652 0.000867575
16 -7.52319 -7.51694 0.000908061
17 -7.51624 -7.51689 0.000855571
18 -7.51407 -7.51674 0.00082226
19 -7.51979 -7.5169 0.000794512
20 -7.51809 -7.51696 0.000757033
