1 -7.54608 -7.54608 0
2 -7.54378 -7.54493 0.000813755
3 -7.55116 -7.547 0.0017795
4 -7.54397 -7.54625 0.0014872
5 -7.55091 -7.54718 0.00145343
6 -7.54972 -7.5476 0.00127137
7 -7.5439 -7.54707 0.0011948
8 -7.55023 -7.54747 0.0011087
9 -7.53982 -7.54662 0.00127003
10 -7.5412 -7.54608 0.00125331
11 -7.54452 -7.54594 0.00114729
12 -7.54078 -7.54551 0.00112919
13 -7.5413 -7.54518 0.0010878
14 -7.55466 -7.54586 0.00120247
15 -7.54212 -7.54561 0.00114784
16 -7.54317 -7.54546 0.00108621
17 -7.54468 -7.54541 0.00102327
18 -7.55361 -7.54587 0.00106299
19 -7.54713 -7.54593 0.00100911
20 -7.54313 -7.54579 0.000968316
